geo_tz,fips
001000_13,913001
001000_14,914001
002000_12,912002
003000_11,911003
003000_12,912003
004000_11,911004
005000_10,910005
005000_11,911005
006000_10,910006
006000_11,911006
007000_13,913007
008000_13,913008
009000_12,912009
009000_13,913009
010000_12,912010
010000_13,913010
010000_14,914010
011000_12,912011
011000_13,913011
011000_14,914011
012000_12,912012
013000_12,912013
013000_13,913013
014000_12,912014
014000_13,913014
015000_12,912015
015000_13,913015
015000_14,914015
015000_15,915015
015000_16,916015
016000_11,911016
016000_12,912016
016000_13,913016
016000_14,914016
017000_10,910017
018000_07,907018
018000_10,910018
018000_11,911018
018000_12,912018
019000_06,906019
019000_07,907019
019000_08,908019
019000_10,910019
020000_03,903020
020000_04,904020
020000_05,905020
020000_06,906020
021000_01,901021
021000_02,902021
021000_03,903021
022000_01,901022
022000_22,922022
022000_23,923022
022000_24,924022
022000_25,925022
023000_16,916023
023000_17,917023
023000_18,918023
024000_20,920024
024000_21,921024
024000_22,922024
024000_23,923024
025000_01,901025
025000_02,902025
025000_03,903025
025000_04,904025
025000_05,905025
025000_06,906025
025000_07,907025
025000_08,908025
025000_09,909025
025000_10,910025
025000_11,911025
025000_12,912025
025000_13,913025
025000_14,914025
025000_15,915025
025000_16,916025
025000_17,917025
025000_18,918025
025000_19,919025
025000_20,920025
025000_21,921025
025000_22,922025
025000_23,923025
025000_24,924025
025000_25,925025
026000_18,918026
026000_19,919026
026000_20,920026
026000_21,921026
026000_22,922026
027000_16,916027
027000_17,917027
027000_18,918027
028000_18,918028
028000_19,919028
029000_18,918029
030000_16,916030
030000_17,917030
030000_18,918030
031000_16,916031
031000_17,917031
032000_16,916032
032000_17,917032
032000_18,918032
033000_17,917033
033000_18,918033
034000_18,918034
034000_19,919034
035000_17,917035
035000_18,918035
035000_19,919035
036000_12,912036
036000_13,913036
036000_14,914036
036000_15,915036
036000_16,916036
036000_17,917036
036000_18,918036
036000_19,919036
037000_16,916037
037000_17,917037
038000_12,912038
038000_13,913038
039000_11,911039
040000_11,911040
041000_10,910041
041000_11,911041
042000_10,910042
043000_09,909043
043000_10,910043
044000_09,909044
044000_10,910044
045000_08,908045
046000_08,908046
046000_09,909046
046000_10,910046
047000_10,910047
047000_11,911047
048000_06,906048
048000_07,907048
048000_08,908048
049000_06,906049
049000_07,907049
049000_08,908049
050000_05,905050
050000_06,906050
051000_05,905051
051000_06,906051
052000_06,906052
053000_05,905053
053000_06,906053
054000_04,904054
054000_05,905054
055000_04,904055
055000_05,905055
056000_03,903056
056000_04,904056
056000_05,905056
057000_03,903057
058000_01,901058
058000_02,902058
058000_03,903058
059000_02,902059
059000_03,903059
059000_04,904059
060000_03,903060
061000_02,902061
061000_03,903061
062000_04,904062
063000_02,902063
063000_03,903063
063000_04,904063
063000_05,905063
064000_02,902064
064000_03,903064
064000_04,904064
065000_01,901065
065000_02,902065
065000_03,903065
065000_04,904065
066000_01,901066
066000_22,922066
066000_23,923066
067000_22,922067
068000_21,921068
068000_22,922068
069000_20,920069
069000_21,921069
070000_12,912070
070000_13,913070
070000_14,914070
070000_15,915070
070000_16,916070
070000_17,917070
071000_03,903071
071000_04,904071
071000_05,905071
071000_06,906071
071000_07,907071
071000_08,908071
071000_09,909071
071000_10,910071
071000_11,911071
071000_12,912071
072000_01,901072
072000_02,902072
072000_03,903072
072000_04,904072
072000_18,918072
072000_19,919072
072000_20,920072
